Loosemorehanby,Gallagher,EffectiveNumberOfParties,EffectiveNumberOfPCAVars,Governability,Round,ENI,Entropy,SpatialSum,
0.33,0.236997890285969,2.94117647058823,2.5539162843148,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.38,0.3082790943285,1.47058823529412,2.16095556297727,1,1,1,-0.388139521741323,1.10000009666338,
0.445,0.334212507246512,1.21951219512195,1.24559855283256,1,1,1,-0.388139521741323,1.10000009666338,
0.446,0.314308765388431,1.72413793103448,2.76369921728988,1,1,1,-0.388139521741323,1.10000009666338,
0.28,0.18952836199366,2.77777777777778,1.58491471276076,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.458,0.327299556981063,1.72413793103448,1.43237576724235,1,1,1,-0.388139521741323,1.10000009666338,
0.416,0.271365067759282,1.92307692307692,1.63311625739239,1,1,1,-0.388139521741323,1.10000009666338,
0.264,0.21190563937753,1.72413793103448,1.49866856669174,1,1,1,-0.388139521741323,1.10000009666338,
0.32,0.238029409947595,2.63157894736842,1.42795822562329,0.5,1,1,-0.388139521741323,1.10000009666338,
0.406,0.266373797510191,2.77777777777778,1.84192361212375,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.412,0.250730931478348,1.92307692307692,1.59725713582646,1,1,1,-0.388139521741323,1.10000009666338,
0.389,0.265922921163257,1.92307692307692,1.78131330846604,1,1,1,-0.388139521741323,1.10000009666338,
0.512,0.320298298465665,1.72413793103448,1.53658401485777,1,1,1,-0.388139521741323,1.10000009666338,
0.491,0.351485419327744,1.85185185185185,2.28062380422825,1,1,1,-0.388139521741323,1.10000009666338,
0.267,0.205611283737056,1.72413793103448,1.35577091634513,1,1,1,-0.388139521741323,1.10000009666338,
0.181,0.10956733089749,4.16666666666667,2.32543741314162,0.263888888888889,1,1,-0.388139521741323,1.10000009666338,
0.391,0.305077039450694,2.38095238095238,1.72047436614897,1,1,1,-0.388139521741323,1.10000009666338,
0.307,0.25266776604862,1.47058823529412,1.37645205474899,1,1,1,-0.388139521741323,1.10000009666338,
0.457,0.333532607101615,1.85185185185185,1.631841840546,1,1,1,-0.388139521741323,1.10000009666338,
0.433,0.319685783230972,1.85185185185185,1.9153928318103,1,1,1,-0.388139521741323,1.10000009666338,
0.565,0.43416701855392,1.21951219512195,2.44569388090919,1,1,1,-0.388139521741323,1.10000009666338,
0.473,0.369505074390055,1,1.29792210591191,1,1,1,-0.388139521741323,1.10000009666338,
0.35,0.220952483579615,2.38095238095238,2.72899746790893,0.5,1,1,-0.388139521741323,1.10000009666338,
0.464,0.288504765991829,1.92307692307692,1.43898262221114,1,1,1,-0.388139521741323,1.10000009666338,
0.324,0.248545770432731,2.27272727272727,2.33146394654501,1,1,1,-0.388139521741323,1.10000009666338,
0.361,0.280955512492636,1.21951219512195,1.16619263042673,1,1,1,-0.388139521741323,1.10000009666338,
0.312,0.195701303010481,3.57142857142857,2.10139450747643,0.283333333333333,1,1,-0.388139521741323,1.10000009666338,
0.477,0.301579177000004,1.72413793103448,1.59293709362274,1,1,1,-0.388139521741323,1.10000009666338,
0.32,0.253173853310329,1.72413793103448,2.46606814044842,1,1,1,-0.388139521741323,1.10000009666338,
0.396,0.252495544515146,1.72413793103448,1.21498677719266,1,1,1,-0.388139521741323,1.10000009666338,
0.427,0.331353285784222,1.21951219512195,1.20939471665238,1,1,1,-0.388139521741323,1.10000009666338,
0.489,0.304420761447047,1.92307692307692,1.65409045142108,1,1,1,-0.388139521741323,1.10000009666338,
0.302,0.190759010272123,2.94117647058824,2.09125976987092,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.346,0.212830918806455,1.92307692307692,2.49061324874766,1,1,1,-0.388139521741323,1.10000009666338,
0.486,0.337237305172485,1.72413793103448,1.85302158570474,1,1,1,-0.388139521741323,1.10000009666338,
0.404,0.257029181222678,1.92307692307692,1.80406081248877,1,1,1,-0.388139521741323,1.10000009666338,
0.416,0.306471858414439,1.47058823529412,1.49559219688279,1,1,1,-0.388139521741323,1.10000009666338,
0.462,0.288371288445989,2.63157894736842,1.61065759003882,0.5,1,1,-0.388139521741323,1.10000009666338,
0.455,0.27775168766364,2.38095238095238,1.67023177677047,0.5,1,1,-0.388139521741323,1.10000009666338,
0.296,0.194499357325416,3.57142857142857,1.81339446702727,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.342,0.209909504310786,2.38095238095238,1.18256166979003,0.5,1,1,-0.388139521741323,1.10000009666338,
0.379,0.238132316160575,2.94117647058823,2.34602548763927,0.277777777777778,1,1,-0.388139521741323,1.10000009666338,
0.397,0.314701445818096,1.85185185185185,2.10309092930335,1,1,1,-0.388139521741323,1.10000009666338,
0.455,0.333782863550542,1.47058823529412,1.62711566178949,1,1,1,-0.388139521741323,1.10000009666338,
0.455,0.298914703552702,1.92307692307692,2.03017276669623,1,1,1,-0.388139521741323,1.10000009666338,
0.236,0.184162971305309,2.27272727272727,1.80837267794315,1,1,1,-0.388139521741323,1.10000009666338,
0.438,0.278646729749337,2.17391304347826,2.06779971207239,1,1,1,-0.388139521741323,1.10000009666338,
0.309,0.212823870841595,2.63157894736842,1.61083281971354,0.5,1,1,-0.388139521741323,1.10000009666338,
0.261,0.164383697488528,2,1.40700839705997,0.5,1,1,-0.388139521741323,1.10000009666338,
