Loosemorehanby,Gallagher,EffectiveNumberOfParties,EffectiveNumberOfPCAVars,Governability,Round,ENI,
0.282,0.187133642085008,2.77777777777778,3.05457714616709,0.583333333333333,1,5.77157417007321,
0.413,0.277874072198181,2.38095238095238,3.62702053650269,1,1,5.77157417007321,
0.258,0.168706846334107,2.94117647058823,2.69741641034841,0.277777777777778,1,5.77157417007321,
0.213,0.136608930893994,4.54545454545455,3.66336862700665,0.233333333333333,1,5.77157417007321,
0.164,0.132638606747809,3.84615384615385,3.92649705899597,0.319444444444444,1,5.77157417007321,
0.314,0.195616972678753,2.77777777777778,2.92544937304658,0.583333333333333,1,5.77157417007321,
0.378,0.240437101962239,2.77777777777778,3.40602030939815,0.583333333333333,1,5.77157417007321,
0.48,0.301865864250995,1.92307692307692,3.20429591723366,1,1,5.77157417007321,
0.207,0.123798222927472,5,2.80946730991812,0.223333333333333,1,5.77157417007321,
0.315,0.201019899512461,3.33333333333333,3.33175231559645,0.305555555555555,1,5.77157417007321,
0.234,0.146424041741785,3.84615384615385,2.72590258798752,0.319444444444444,1,5.77157417007321,
0.391,0.247850761548154,2.17391304347826,2.42223244634511,1,1,5.77157417007321,
0.358,0.232396213394281,1.92307692307692,2.79328005456269,1,1,5.77157417007321,
0.334,0.190711824489201,3.84615384615385,2.91237745377258,0.277777777777778,1,5.77157417007321,
0.462,0.308651907494511,2.17391304347826,3.45829990527068,1,1,5.77157417007321,
0.184,0.119745563592143,5.55555555555555,4.28660183819802,0.204761904761905,1,5.77157417007321,
0.227,0.183106526371946,2.94117647058824,3.11137628493005,0.583333333333333,1,5.77157417007321,
0.306,0.194185478344803,3.57142857142857,3.37789692721917,0.283333333333333,1,5.77157417007321,
0.309,0.202420354707722,2.38095238095238,4.10976620226302,1,1,5.77157417007321,
0.248,0.18266636253016,4.16666666666667,3.99998860484218,0.33,1,5.77157417007321,
0.289,0.187808413017096,4.16666666666667,3.48440588099211,0.263888888888889,1,5.77157417007321,
