CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
NAT,NZF,2.19,8,6,4,5,6,5,6
NAT,LAB,0.49,5,5,5,0,0,5,5
MAO,MAO,0.14,6,8,0,0,0,10,10
LAB,DK,0.4,1,7,7,1,1,7,10
LAB,LAB,0.37,4,10,7,5,4,7,2
LAB,LAB,0.15,8,8,7,0,2,8,10
LAB,LAB,0.36,2,9,5,1,0,5,9
MAO,LAB,0.19,6,6,4,3,3,6,7
No Vote,LAB,0.5,3,7,5,3,3,3,4
LAB,LAB,0.24,4,9,1,1,3,3,7
NZF,DK,0.64,5,5,10,1,2,0,0
NAT,No Vote,0.24,8,6,8,1,0,0,2
MAO,LAB,0.06,5,9,0,0,0,8,10
PRO,GRN,0.17,4,5,5,1,1,2,8
LAB,LAB,0.33,5,5,5,5,5,5,5
MAO,LAB,0.06,0,0,0,0,0,0,10
LAB,LAB,0.19,5,10,5,0,0,7,10
LAB,LAB,0.8,0,10,5,0,0,7,10
LAB,LAB,0.24,4,5,5,3,3,5,5
LAB,LAB,0.4,0,10,0,0,0,0,0
MAO,DK,0.39,7,5,5,5,5,5,5
MAO,MAO,0.05,4,6,4,1,1,4,10
NZF,NZF,0.13,5,8,9,0,0,2,8
MAO,MAO,0.06,8,1,0,1,8,9,10
NAT,No Vote,0.42,8,5,2,2,3,3,4
LAB,LAB,0.09,0,0,0,0,0,0,0
LAB,DK,0.22,6,6,6,0,5,4,6
LAB,LAB,0.19,0,10,6,0,4,8,10
NAT,NAT,0.33,10,0,0,1,4,4,0
LAB,LAB,0.33,0,8,0,0,0,0,0
LAB,LAB,0.8,1,9,0,0,0,0,9
LAB,LAB,0.16,5,10,3,0,9,10,4
LAB,LAB,0.37,6,10,3,0,0,6,3
LAB,LAB,0.22,7,7,3,3,3,6,7
LAB,LAB,0.19,2,9,4,5,4,8,8
MAO,LAB,0.16,1,4,3,2,2,5,5
LAB,LAB,0.22,0,10,0,0,0,1,7
MAO,LAB,0.11,0,1,5,0,0,0,5
NAT,LAB,0.1,10,9,0,0,0,10,10
MAO,LAB,0.13,8,8,0,0,5,0,10
MAO,MAO,0.33,8,3,5,0,0,8,10
LAB,LAB,0.16,0,10,0,5,0,5,10
No Vote,LAB,0.77,4,5,4,0,0,8,8
LAB,LAB,0.59,5,8,0,0,0,7,10
MAO,Destiny,0.13,5,5,5,0,0,0,10
LAB,LAB,0.09,5,7,5,0,0,5,0
NZF,LAB,0.32,0,0,10,0,0,0,0
NZF,NZF,0.14,5,1,0,6,10,3,2
MAO,LAB,0.13,6,10,7,0,0,7,10
MAO,LAB,0.11,0,10,10,0,0,10,10
MAO,LAB,0.11,5,5,5,5,5,10,10
LAB,LAB,0.59,1,10,5,4,1,6,8
LAB,LAB,0.22,0,10,0,0,0,5,10
Another,NZF,0.18,0,0,10,0,0,5,10
GRN,MAO,0.11,4,6,2,2,0,2,7
LAB,LAB,0.4,0,10,5,0,0,5,5
MAO,LAB,0.25,0,10,7,0,0,0,10
LAB,LAB,0.09,0,10,10,0,0,0,0
MAO,LAB,0.53,0,10,0,0,0,0,10
LAB,LAB,0.16,10,0,5,5,2,8,9
LAB,LAB,0.16,5,7,2,0,0,7,7
NAT,NAT,0.17,8,5,0,0,3,0,2
LAB,LAB,0.09,4,8,2,2,2,3,5
NAT,NAT,0.33,10,0,0,0,0,0,0
LAB,LAB,0.16,1,10,7,7,7,10,2
LAB,LAB,0.37,2,10,1,1,1,7,2
GRN,LAB,0.46,10,8,10,10,10,5,5
MAO,LAB,0.38,4,6,0,0,1,10,10
MAO,,0.06,5,10,9,5,5,7,10
LAB,No Vote,0.22,2,10,0,0,0,5,8
GRN,LAB,0.3,3,6,5,2,3,10,10
LAB,LAB,0.77,0,10,10,0,0,5,10
MAO,DK,1.82,0,10,0,0,0,0,5
NZF,NZF,0.32,0,5,10,0,0,0,7
LAB,LAB,0.16,8,5,5,0,0,6,10
No Vote,Destiny,0.17,2,1,0,0,0,0,5
LAB,LAB,0.09,5,10,5,0,0,5,10
LAB,LAB,0.59,0,10,10,0,0,10,10
