lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.472296389,0.132016806,0.528067222,0.379232518,2.119517221,2.496436856,1,-1.11E-15,-1.067682071,1
0.42682,0.112933958,0.451735833,0.332152927,2.222908305,2.312396792,1,-1.11E-15,-1.122004318,1
0.233526667,0.072829514,0.291318056,0.195984068,3.578528827,2.334506767,0.333333333,-1.242453325,-1.411079343,1
0.423198889,0.105799722,0.423198889,0.325627334,2.117024405,2.364645075,1,-1.11E-15,-1.010397656,1
0.3755725,0.093893125,0.3755725,0.288135968,1.873048907,2.450233568,1,-1.11E-15,-0.987439114,1
0.3186525,0.079908611,0.319634444,0.247700932,3.171806167,3.069865088,0.4,-1.227529411,-1.359241422,1
0.204854444,0.103657639,0.414630556,0.226074646,3.517342452,2.699516254,0.333333333,-1.098612289,-1.337007058,1
0.168273611,0.058755347,0.235021389,0.157616957,3.945205479,3.013073048,0.333333333,-1.098612289,-1.435514423,1
0.207973611,0.080105208,0.320420833,0.194436346,3.519061584,2.42892522,0.277777778,-1.406723695,-1.445629276,1
0.140996389,0.040339236,0.161356944,0.121780717,4.079320113,2.369296787,0.4,-1.227529411,-1.553413638,1
0.341855278,0.099685625,0.3987425,0.277759073,3.538083538,2.586007333,0.523809524,-1.110200866,-1.571603129,1
0.260048611,0.071648611,0.286594444,0.21084452,3.423680456,2.714969458,0.466666667,-1.172993472,-1.498765515,1
0.468526111,0.117953403,0.471813611,0.365459405,2.457337884,2.597806012,1,-1.11E-15,-1.28383732,1
0.364550833,0.116735833,0.466943333,0.303819809,2.369200395,2.56380836,1,-1.11E-15,-1.141198066,1
0.298621111,0.081523542,0.326094167,0.238527618,2.159568086,2.427189259,1,-1.11E-15,-1.05233909,1
0.307942778,0.097272986,0.389091944,0.258903447,2.326332795,2.463785145,1,-1.11E-15,-1.080611455,1
0.557976389,0.1405725,0.56229,0.430558114,1.68263613,2.724114666,1,-1.11E-15,-0.772369045,1
0.338948889,0.097647361,0.390589444,0.274274689,2.676579926,2.441620685,1,-1.11E-15,-1.279303215,1
0.427284167,0.106821042,0.427284167,0.326674773,1.896233869,2.487086512,1,-1.11E-15,-0.974746913,1
0.471504167,0.117876042,0.471504167,0.362407786,2.30843219,2.324216029,1,-1.11E-15,-1.208707105,1
0.207037778,0.091187708,0.364750833,0.218543597,4.278074866,2.401049853,0.277777778,-1.406723695,-1.512570489,1
0.128077778,0.066194097,0.264776389,0.159113892,4.042672656,2.873169413,0.277777778,-1.406723695,-1.49058233,1
0.343429167,0.093992431,0.375969722,0.269864996,2.601156069,2.581150218,1,-1.11E-15,-1.167787047,1
0.422686111,0.143699722,0.574798889,0.362350924,2.763915547,2.477199832,1,-1.11E-15,-1.247791593,1
0.477308333,0.124113403,0.496453611,0.369275646,1.852328274,2.612302806,1,-1.11E-15,-0.939757269,1
0.583418889,0.145854722,0.583418889,0.44982911,1.397786838,2.541633514,1,-1.11E-15,-0.662751933,1
0.244453889,0.094825069,0.379300278,0.230430294,4.761904762,2.471025918,0.28,-1.46315431,-1.667764785,1
0.256592222,0.088790208,0.355160833,0.221108807,3.243243243,2.511645868,0.277777778,-1.406723695,-1.311674615,1
0.151002222,0.091893889,0.367575556,0.204507756,3.819628647,2.810145594,0.297222222,-1.309264956,-1.447296195,1
0.358417222,0.112431458,0.449725833,0.301766118,2.691588785,2.435541784,1,-1.11E-15,-1.192470232,1
0.272015,0.102851528,0.411406111,0.251665311,3.686635945,2.510328271,0.333333333,-1.242453325,-1.427826318,1
0.519920278,0.129980069,0.519920278,0.39873388,2.037928106,2.548663079,1,-1.11E-15,-1.13372919,1
0.454821944,0.117873333,0.471493333,0.352542354,2.716981132,2.533551664,1,-1.11E-15,-1.346455011,1
0.191165833,0.085795694,0.343182778,0.204973332,3.4416826,2.763097683,0.333333333,-1.098612289,-1.330911969,1
0.176883056,0.087378125,0.3495125,0.198742096,3.056027165,2.185027599,0.280600907,-1.467642545,-1.283696549,1
0.334609444,0.087010903,0.348043611,0.262704355,2.409638554,2.261090534,1,-1.11E-15,-0.974570189,1
0.448189167,0.112047292,0.448189167,0.344303662,2.786377709,2.768053097,1,-1.11E-15,-1.338109877,1
0.394448333,0.098612083,0.394448333,0.304075907,2.371541502,2.642477208,1,-1.11E-15,-1.049786124,1
0.178875833,0.071158889,0.284635556,0.168090914,4.958677686,2.500360018,0.226031746,-1.620041897,-1.71930559,1
0.322363889,0.096586111,0.386344444,0.271104084,2.354480052,2.587512955,1,-1.11E-15,-1.034550285,1
0.297638611,0.101014653,0.404058611,0.258474961,3.265306122,2.333612241,0.4,-1.227529411,-1.421526333,1
0.1933275,0.072536944,0.290147778,0.18040123,3.567888999,2.98418282,0.333333333,-1.242453325,-1.409281991,1
0.58928,0.14732,0.58928,0.448217656,1.561483409,2.430797983,1,-1.11E-15,-0.688699539,1
0.521931667,0.139795,0.55918,0.407579597,1.657840203,2.306290993,1,-1.11E-15,-0.787860899,1
0.377078611,0.094269653,0.377078611,0.288932739,3.220035778,2.89132289,0.7,-0.718800861,-1.440456187,1
0.223791667,0.094416389,0.377665556,0.230846187,3.134523291,2.458543505,0.333333333,-1.242453325,-1.28203293,1
0.222504722,0.088898056,0.355592222,0.21273048,2.755453502,2.498807654,0.333333333,-1.098612289,-1.113436478,1
0.255415278,0.085239583,0.340958333,0.221293271,2.962962963,3.224762977,0.461950113,-1.105064096,-1.301225356,1
0.317397222,0.10667625,0.426705,0.281784709,2.448146889,2.247603639,1,-1.11E-15,-1.242123048,1
0.233844167,0.100358403,0.401433611,0.23641334,4.140310523,2.641882752,0.28,-1.412933626,-1.558879703,1
0.389458056,0.102459306,0.409837222,0.308179414,3.035413153,2.290876243,1,-1.11E-15,-1.406727606,1
0.088621667,0.056070278,0.224281111,0.123047598,4.480398258,2.484452217,0.230555556,-1.575565717,-1.576412546,1
0.370551667,0.099415347,0.397661389,0.292335819,2.792862684,2.578690287,1,-1.11E-15,-1.225980181,1
0.451393333,0.120425694,0.481702778,0.353225915,2.001668057,2.617537543,1,-1.11E-15,-0.980498976,1
0.299234722,0.088976181,0.355904722,0.241181676,2.792862684,2.67980832,1,-1.11E-15,-1.343610708,1
0.404435556,0.101726458,0.406905833,0.315913882,2.434077079,2.526339614,1,-1.11E-15,-1.299541191,1
0.095787222,0.052448056,0.209792222,0.116009546,4.267931239,2.813192207,0.262777778,-1.390327575,-1.547077234,1
0.355781111,0.113596597,0.454386389,0.297629302,2.709823109,2.506824341,1,-1.11E-15,-1.197037964,1
0.423828333,0.105957083,0.423828333,0.325947951,2.341463415,2.440994446,1,-1.11E-15,-1.146346828,1
0.206782778,0.092599653,0.370398611,0.22557662,3.773584906,2.490249968,0.333333333,-1.098612289,-1.4848937,1
0.333408333,0.126461181,0.505844722,0.310757406,2.815799765,2.498010287,0.22547619,-1.654561067,-1.261265283,1
0.393253611,0.101267083,0.405068333,0.309361334,2.046035806,2.384692344,1,-1.11E-15,-0.964153086,1
0.246279722,0.100213681,0.400854722,0.239447494,2.911443591,2.769229896,0.277777778,-1.406723695,-1.224084652,1
0.274465833,0.108784653,0.435138611,0.26261207,2.449812862,2.570480418,1,-1.11E-15,-1.107952125,1
0.202796389,0.069451319,0.277805278,0.180063217,3.660396543,2.215604577,0.28,-1.412933626,-1.505505554,1
0.438551389,0.109637847,0.438551389,0.341784586,2.299584797,2.67008957,1,-1.11E-15,-1.193002155,1
0.315381667,0.087613472,0.350453889,0.250434066,3.129074316,2.320489874,0.334761905,-1.379136315,-1.371095215,1
0.4010225,0.110252292,0.441009167,0.317908217,1.786600496,2.900281336,1,-1.11E-15,-0.876181898,1
0.245951111,0.118125486,0.472501944,0.27928075,3.25203252,2.62257636,0.297222222,-1.367127556,-1.325894999,1
0.348177778,0.090558819,0.362235278,0.268951542,4.102564103,2.449609513,0.466666667,-1.172993472,-1.666699112,1
0.184886667,0.074036944,0.296147778,0.183931243,4.534005038,2.452206862,0.251111111,-1.518728797,-1.608130938,1
0.352870278,0.100426181,0.401704722,0.284366588,3.041825095,2.6347154,0.703333333,-0.785964295,-1.362561874,1
0.292432222,0.073480625,0.2939225,0.228923399,2.816901408,2.411361137,1,-1.11E-15,-1.323547454,1
0.267858056,0.082391736,0.329566944,0.222313823,3.536345776,2.435976032,0.333333333,-1.242453325,-1.464974211,1
0.224855,0.096040069,0.384160278,0.237680237,3.180212014,2.601698794,0.333333333,-1.098612289,-1.263018438,1
0.164513333,0.066200694,0.264802778,0.159280572,4.13080895,2.700798053,0.277777778,-1.406723695,-1.504833682,1
0.520793889,0.130198472,0.520793889,0.397007974,1.795511222,2.655210432,1,-1.11E-15,-0.965621935,1
0.470456667,0.117614167,0.470456667,0.363976336,2.332361516,2.549473492,1,-1.11E-15,-1.129658379,1
0.217076667,0.081327569,0.325310278,0.19878525,3.632694248,2.503344338,0.333333333,-1.242453325,-1.408217066,1
0.402032778,0.100508194,0.402032778,0.315732174,2.696629213,2.935607763,1,-1.11E-15,-1.262986446,1
0.216657778,0.099648264,0.398593056,0.233273753,3.069053708,2.425337486,0.277777778,-1.406723695,-1.30268402,1
0.294301111,0.091818194,0.367272778,0.246122592,3.466538276,2.472149856,0.277777778,-1.406723695,-1.379023369,1
0.4250725,0.106268125,0.4250725,0.32573049,2.248594628,2.535817074,1,-1.11E-15,-1.068851996,1
0.310506111,0.082021389,0.328085556,0.248180612,3.32103321,2.637831864,0.466666667,-1.172993472,-1.434483056,1
0.470517222,0.117629306,0.470517222,0.360204412,1.60284951,2.470218711,1,-1.11E-15,-0.756301965,1
0.185264444,0.093617778,0.374471111,0.211918611,3.220035778,2.88142452,0.297222222,-1.367127556,-1.320085273,1
0.210672778,0.065949931,0.263799722,0.176952888,3.046974185,2.742923313,0.333333333,-1.098612289,-1.288461978,1
0.1960025,0.081277431,0.325109722,0.191425342,3.742203742,2.344562262,0.281666667,-1.488008651,-1.499717997,1
0.327600833,0.08455,0.3382,0.25683097,3.017602682,2.440646274,0.4,-1.227529411,-1.286539681,1
0.257143056,0.065917361,0.263669444,0.201373729,3.669724771,2.19379312,0.277777778,-1.406723695,-1.464910233,1
0.465165556,0.120838611,0.483354444,0.360448608,2.321831667,2.562258016,1,-1.11E-15,-1.120289942,1
0.220108056,0.089288264,0.357153056,0.208514404,3.474903475,2.895978189,0.333333333,-1.242453325,-1.399974769,1
0.156699722,0.076709514,0.306838056,0.178677657,4.193360513,2.64013116,0.277777778,-1.406723695,-1.510806799,1
0.152940833,0.074526528,0.298106111,0.176896449,4.545454545,2.43856945,0.28,-1.46315431,-1.638048056,1
0.562979722,0.140744931,0.562979722,0.42948997,1.829733164,2.543046672,1,-1.11E-15,-0.916744855,1
0.134782222,0.070155625,0.2806225,0.155727796,2.633504023,1.630595139,1,-1.11E-15,-1.171142776,1
0.640777222,0.160194306,0.640777222,0.491355293,1.472693802,2.503522832,1,-1.11E-15,-0.687496783,1
0.161881389,0.089654167,0.358616667,0.199208001,3.609022556,2.672711778,0.333333333,-1.098612289,-1.408431447,1
0.196705278,0.086397292,0.345589167,0.202790504,3.900325027,2.760209687,0.277222222,-1.428518783,-1.517655104,1
0.329158056,0.082289514,0.329158056,0.250978689,4.135554279,2.709053082,0.31,-1.445541322,-1.600632501,1
0.271206667,0.125170972,0.500683889,0.303218735,3.422053232,2.226075521,0.288888889,-1.385189082,-1.44381244,1
0.233941111,0.076466111,0.305864444,0.197576973,3.031578947,2.073506607,0.333333333,-1.098612289,-1.207039122,1
0.066690833,0.038674028,0.154696111,0.084924791,5.546995378,2.577102297,0.191111111,-1.714087541,-1.750796975,1
0.318245556,0.117615208,0.470460833,0.28862823,3.187250996,2.737720207,0.237777778,-1.65170325,-1.410227682,1
0.325945556,0.096116806,0.384467222,0.269944843,2.242292121,2.494781065,1,-1.11E-15,-1.061103406,1
0.383758056,0.101079097,0.404316389,0.301240861,2.367642223,2.237780748,1,-1.11E-15,-1.166191493,1
0.359334722,0.090812986,0.363251944,0.279199558,3.238866397,2.315378345,0.4,-1.227529411,-1.376993668,1
0.1166575,0.066591458,0.266365833,0.149647339,4.002223457,2.355430841,0.333333333,-1.098612289,-1.467750715,1
0.282184167,0.102782708,0.411130833,0.252519503,3.719008264,3.039697693,0.333333333,-1.242453325,-1.499070761,1
0.421494167,0.105373542,0.421494167,0.324538885,2.389644872,2.552337504,1,-1.11E-15,-1.297495278,1
0.346171389,0.086542847,0.346171389,0.262755866,2.194452911,2.493428264,1,-1.11E-15,-1.083090327,1
0.168634167,0.070083472,0.280333889,0.176330403,4.280618312,2.434799816,0.373968254,-1.32913722,-1.649653813,1
0.299556111,0.106235208,0.424940833,0.265814149,2.563189747,2.808572929,0.297222222,-1.309264956,-1.09886892,1
0.544798333,0.136199583,0.544798333,0.41312284,2.13459828,2.545000078,1,-1.11E-15,-1.186916143,1
0.205916667,0.097127431,0.388509722,0.235430687,3.870967742,2.846955363,0.30952381,-1.270271897,-1.511329355,1
0.303978056,0.113205764,0.452823056,0.274723565,3.436754177,2.613058152,0.269365079,-1.4989615,-1.424289693,1
0.215115833,0.106338889,0.425355556,0.256716002,2.961744138,2.755372365,0.333333333,-1.242453325,-1.263271912,1
0.360145278,0.093109583,0.372438333,0.282282802,2.555003549,2.65003684,1,-1.11E-15,-1.175391074,1
0.184880278,0.072795069,0.291180278,0.174769584,3.311867525,2.630834829,0.303333333,-1.382828652,-1.353864934,1
0.231841944,0.067846736,0.271386944,0.188603369,2.339181287,2.329461876,1,-1.11E-15,-1.000723497,1
0.391444444,0.102914444,0.411657778,0.311140587,2.14797136,3.001216818,1,-1.11E-15,-1.031198034,1
0.485716667,0.121429167,0.485716667,0.373770286,1.639717604,2.527392579,1,-1.11E-15,-0.798579485,1
0.261690278,0.101172361,0.404689444,0.249215235,3.435114504,2.621696248,0.277777778,-1.480595915,-1.415237735,1
0.256993889,0.076154722,0.304618889,0.211468196,2.936378467,2.732229026,0.358333333,-1.284558172,-1.253528862,1
0.121281111,0.086140903,0.344563611,0.181064428,4.161849711,2.566768387,0.283968254,-1.472859421,-1.560188,1
0.352322778,0.101038125,0.4041525,0.280056522,2.03562341,2.331163013,1,-1.11E-15,-0.961749649,1
0.472296389,0.132016806,0.528067222,0.379232518,2.119517221,2.492396014,1,-1.11E-15,-1.067682071,1
0.42682,0.112933958,0.451735833,0.332152927,2.222908305,2.312498145,1,-1.11E-15,-1.122004318,1
0.233526667,0.072829514,0.291318056,0.195984068,3.578528827,2.332319918,0.333333333,-1.242453325,-1.411079343,1
0.423198889,0.105799722,0.423198889,0.325627334,2.117024405,2.364645161,1,-1.11E-15,-1.010397656,1
0.3755725,0.093893125,0.3755725,0.288135968,1.873048907,2.471675737,1,-1.11E-15,-0.987439114,1
0.138470556,0.060188611,0.240754444,0.145508166,3.367633302,2.189532473,0.333333333,-1.242453325,-1.293780541,2
0.242116667,0.091031528,0.364126111,0.226938592,3.75782881,2.18343956,0.282222222,-1.506603947,-1.531543705,2
0.223902778,0.078876667,0.315506667,0.201028007,5.131860299,2.351944912,0.233650794,-1.672143745,-1.775751221,2
0.236447778,0.102455694,0.409822778,0.233055884,2.92921074,2.361067773,0.335,-1.33136678,-1.236985899,2
0.253530556,0.080159306,0.320637222,0.216324676,3.243243243,2.225244684,0.333333333,-1.242453325,-1.339961556,2
0.209926667,0.072764167,0.291056667,0.184651166,4.290822408,2.215943077,0.34,-1.367965652,-1.599062924,2
0.22582,0.094289306,0.377157222,0.224473688,3.61627323,2.607664627,0.331581633,-1.348044386,-1.499647887,2
0.318824444,0.097131806,0.388527222,0.262724292,2.997502082,1.956571027,0.43,-1.230955784,-1.333320205,2
0.211027778,0.061249861,0.244999444,0.178999253,4.135554279,2.589116048,0.286666667,-1.494528554,-1.587075417,2
0.198761111,0.098543472,0.394173889,0.235618825,2.958093673,2.213719308,0.4,-1.227529411,-1.273333613,2
0.195945,0.072666944,0.290667778,0.180870714,3.982300885,2.093083462,0.333333333,-1.242453325,-1.537626,2
0.230203889,0.061950556,0.247802222,0.183171247,2.862823062,2.206791492,1,-1.11E-15,-1.237598123,2
0.146356111,0.082027639,0.328110556,0.182404865,3.75782881,2.263929604,0.277777778,-1.406723695,-1.467054145,2
0.328673333,0.091570833,0.366283333,0.261306815,3.50877193,2.127315618,0.351111111,-1.393301093,-1.482106703,2
0.194022778,0.072405972,0.289623889,0.178436179,2.780996524,2.452855378,1,-1.11E-15,-1.276716891,2
0.183207222,0.08937875,0.357515,0.203433072,3.713254255,1.973751698,0.333333333,-1.098612289,-1.411738069,2
0.302490556,0.089272222,0.357088889,0.245701798,3.474903475,2.305486705,0.4,-1.227529411,-1.446035362,2
0.179063889,0.067695833,0.270783333,0.163449749,3.185840708,2.234059946,0.333333333,-1.098612289,-1.283868539,2
0.319837778,0.089411111,0.357644444,0.251053175,3.240324032,2.387108468,0.4,-1.227529411,-1.382330619,2
0.165817778,0.0817375,0.32695,0.198329829,3.16344464,2.080799928,0.335,-1.33136678,-1.341280513,2
0.290907778,0.09988375,0.399535,0.252697006,3.545051699,2.225882704,0.286666667,-1.494528554,-1.454031486,2
0.203562222,0.087807361,0.351229444,0.206095265,3.409090909,2.307582077,0.333333333,-1.242453325,-1.367460503,2
0.172243889,0.084172361,0.336689444,0.202132925,3.369209172,2.368147111,0.333333333,-1.098612289,-1.315935921,2
0.329109444,0.0872,0.3488,0.259130756,3.322565759,2.135921503,0.4,-1.227529411,-1.428114107,2
0.263642778,0.095264167,0.381056667,0.23198926,3.298213468,2.482238831,0.333333333,-1.242453325,-1.355885757,2
0.212356667,0.067464167,0.269856667,0.177092323,3.636363636,2.324101963,0.333333333,-1.242453325,-1.406132568,2
0.233382222,0.079885278,0.319541111,0.213773245,4.639175258,2.220598037,0.277743764,-1.51407277,-1.702418968,2
