"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
Labour,Maori,0.29,0,8,0,0,0,7,9,0
Labour,Labour,0.91,0,0,0,0,0,0,0,0
Maori,Labour,0.83,6,5,6,4,3,5,6,4
Labour,Labour,0.08,0,10,9,0,0,0,0,9
Maori,Green,0.14,4,6,3,1,5,5,5,3
Labour,Labour,0.71,9,9,5,2,0,9,9,0
No Vote,No Vote,0.91,6,4,4,3,5,6,4,0
Maori,National,0.11,8,6,2,1,1,6,10,1
Maori,Labour,0.11,0,7,0,0,0,5,8,0
Labour,Labour,0.21,7,8,10,0,1,5,8,5
Maori,No Vote,0.14,8,8,6,2,1,5,10,0
Labour,Labour,0.29,6,8,3,0,0,8,7,0
Labour,DK,1.67,4,10,4,0,4,4,4,0
Labour,Labour,0.21,2,10,7,0,0,5,5,0
Labour,Labour,0.21,5,10,0,0,0,10,5,10
Green,Green,0.80,6,7,0,1,0,9,9,7
No Vote,NZFirst,3.45,3,3,7,0,0,7,7,0
National,National,0.32,7,4,4,1,5,5,8,0
National,National,0.49,6,6,6,6,6,6,6,6
Labour,Labour,0.21,3,8,1,2,2,8,8,1
Maori,Labour,0.18,0,0,0,0,0,0,0,0
Labour,Labour,0.91,1,9,5,4,3,2,7,1
Labour,Labour,0.44,5,10,5,5,5,7,5,5
Labour,Labour,8.18,3,10,6,0,0,8,5,0
Maori,Labour,0.47,2,2,5,1,0,1,10,0
No Vote,Maori,0.43,9,9,0,0,2,2,9,2
Maori,National,0.05,5,6,0,0,0,0,6,0
Labour,Labour,0.40,4,7,2,0,0,10,5,5
NZ First,NZFirst,0.22,3,10,10,0,0,5,10,10
United F,Green,0.59,2,8,5,9,0,5,9,9
Labour,Labour,1.76,5,10,5,5,5,5,10,2
Maori,Maori,0.27,8,5,2,5,10,7,10,5
Maori,Maori,0.14,3,3,4,0,0,10,10,6
Maori,Maori,3.21,0,10,0,0,0,10,10,5
Maori,Labour,0.14,8,7,4,2,1,1,8,1
Labour,Labour,0.21,5,7,3,0,0,3,3,0
NZ First,NZFirst,0.17,0,0,10,0,0,0,0,0
Maori,Labour,0.29,0,10,5,0,0,10,8,0
Labour,Labour,0.21,3,10,0,0,0,0,8,0
Maori,NZFirst,0.73,0,0,0,0,0,0,10,0
Maori,Labour,0.47,5,6,3,1,2,4,8,1
Green,Green,1.34,5,7,3,0,3,8,7,0
Labour,Labour,0.40,6,7,4,3,2,4,3,3
Maori,Labour,0.14,5,5,2,2,8,8,10,0
Labour,Labour,0.44,1,5,0,0,0,10,0,0
Maori,Labour,0.05,9,8,0,0,0,0,8,0
NZ First,Maori,0.22,8,8,9,2,2,7,7,3
Maori,Maori,0.06,4,1,3,2,3,2,8,1
