"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
National,National,0.86,10,3,0,6,8,5,3,8
Green,No Vote,0.42,3,7,1,0,1,6,5,0
National,National,1.17,9,4,1,3,3,1,1,1
Labour,Labour,0.77,4,10,7,4,4,5,4,6
Act,Labour,0.92,10,3,0,4,8,0,0,0
National,NZFirst,0.33,8,4,4,5,4,0,2,2
National,Libertarianz,0.33,0,0,1,2,9,0,4,0
NZ First,DK,0.62,5,10,10,0,0,10,10,0
National,National,0.86,10,4,3,5,8,1,5,3
Labour,Labour,4.16,5,1,7,9,9,5,5,9
Green,Green,0.95,5,8,4,3,4,8,5,0
National,National,0.86,3,0,0,0,1,1,1,0
National,National,0.53,8,4,2,0,6,0,7,2
No Vote,No Vote,1.56,5,5,2,2,2,0,2,2
Labour,Labour,1.48,3,8,1,3,0,7,5,5
National,National,0.53,7,2,2,0,6,0,5,0
Labour,Labour,0.98,1,10,6,3,0,9,3,9
Maori,Labour,0.39,5,0,0,7,5,7,10,7
Act,Act,0.93,6,4,1,1,7,6,6,2
Act,National,0.71,9,0,6,6,8,1,5,0
No Vote,Labour,0.36,5,8,2,0,1,8,0,0
National,United F,1.65,8,3,6,6,7,0,5,3
National,Labour,1.65,8,8,3,0,4,4,0,0
National,National,0.33,9,6,1,5,3,1,3,1
Labour,Labour,4.48,5,6,2,0,2,2,2,0
National,No Vote,1.17,8,6,6,6,6,6,6,6
National,Labour,0.86,9,9,7,2,6,0,0,0
Labour,No Vote,0.23,5,5,0,0,0,0,0,0
Labour,NZFirst,0.30,2,10,7,1,0,3,0,0
National,National,0.38,10,5,0,0,3,1,1,0
No Vote,No Vote,5.32,2,6,6,0,0,7,5,0
National,Progressive,4.48,7,2,0,3,7,3,0,1
National,National,3.03,9,2,4,3,5,0,0,0
Labour,Labour,0.48,4,0,4,0,0,0,0,0
NZ First,NZFirst,,0,10,5,0,0,10,0,0
National,United F,0.38,6,1,6,8,5,3,5,5
National,Labour,0.86,8,3,5,5,6,5,1,3
Labour,Green,0.77,1,9,5,0,2,9,0,0
Labour,Labour,0.34,8,9,3,3,7,7,5,0
National,National,0.86,7,4,4,6,7,2,4,5
National,National,0.33,8,3,1,0,7,7,5,0
Green,Labour,0.36,2,8,5,5,0,6,6,5
Labour,Labour,1.61,0,7,0,0,0,7,0,0
National,National,0.66,9,0,0,7,8,7,7,3
National,National,1.80,8,4,0,2,3,3,4,5
National,DK,0.53,6,4,2,5,5,4,5,5
Labour,Labour,0.77,10,10,10,0,0,0,5,0
National,National,0.33,10,0,0,2,3,1,5,0
National,National,0.86,10,0,3,4,10,0,10,0
National,Christian Hetitage,0.33,10,0,0,0,0,0,0,0
National,National,0.26,8,3,5,5,6,3,0,5
Labour,Labour,1.61,8,10,0,0,5,5,5,0
National,Act,0.86,7,2,0,3,5,4,5,0
National,No Vote,1.65,8,2,3,3,6,5,0,1
Labour,Labour,3.33,0,10,0,0,0,10,0,0
NZ Pacific,Labour,3.39,0,0,0,0,0,0,10,0
Green,Labour,0.28,1,8,5,0,0,9,5,0
Labour,No Vote,0.98,7,10,5,5,5,5,5,5
Green,Green,0.59,5,8,5,4,2,9,9,7
Green,Labour,1.98,0,0,0,0,0,0,0,0
No Vote,No Vote,1.56,0,0,0,0,0,0,0,0
NZ First,Labour,0.79,6,6,6,0,0,0,0,0
National,,1.10,8,4,1,1,1,1,4,0
Labour,Labour,0.48,4,7,2,3,2,6,5,8
NZ First,NZFirst,0.24,1,8,8,1,0,8,8,8
National,No Vote,1.80,8,5,2,5,8,0,5,5
Labour,Labour,0.69,1,10,3,2,1,8,0,8
National,Labour,0.77,8,3,5,5,8,8,5,5
Labour,Labour,1.32,0,5,0,0,0,0,0,0
National,National,0.62,8,6,2,6,2,0,1,2
Labour,Labour,0.60,5,10,4,3,3,3,0,3
NZ First,Labour,0.48,7,4,10,9,8,6,0,5
Bill and Ben,Labour,,0,0,5,0,0,5,3,0
No Vote,No Vote,1.39,3,7,0,0,0,0,0,0
National,NZFirst,1.52,7,0,7,7,0,0,5,0
Labour,Labour,0.79,3,10,6,3,1,9,3,9
Labour,Labour,1.36,5,6,3,0,5,6,0,0
National,National,1.52,8,1,0,3,7,7,0,1
Labour,Labour,0.79,3,8,3,3,4,2,2,4
NZ First,No Vote,1.10,6,3,9,1,0,4,3,2
Labour,Labour,0.69,0,7,0,0,0,0,0,0
National,National,1.48,10,3,0,5,9,0,0,0
National,National,0.34,9,3,0,2,7,2,1,0
National,National,1.48,7,0,0,0,7,0,5,0
Family,No Vote,,6,5,0,0,0,3,3,0
Labour,Labour,0.31,2,9,0,0,0,5,0,0
National,National,0.35,8,3,1,2,4,4,5,3
National,National,3.27,10,8,0,3,5,10,0,7
National,Labour,0.32,9,5,8,0,7,0,0,7
National,United F,0.77,7,3,3,5,3,1,7,0
National,National,0.67,9,6,2,2,3,0,3,1
National,National,1.52,9,1,1,4,4,1,4,0
National,National,0.35,8,4,5,0,5,2,0,0
National,National,0.35,8,6,0,0,0,5,0,0
National,National,0.62,9,1,1,3,3,0,2,0
National,National,0.67,8,2,0,1,0,2,1,1
National,Labour,1.62,10,5,0,2,7,5,6,2
Labour,Labour,0.89,1,9,1,1,6,10,1,0
National,National,0.34,9,2,0,2,2,3,1,0
National,,1.39,8,0,2,3,3,2,5,3
National,Labour,0.77,10,8,10,3,3,10,1,3
Bill and Ben,National,2.87,7,7,3,6,7,7,4,5
National,National,0.35,8,5,5,5,5,3,0,0
Labour,Labour,0.60,5,4,8,2,3,10,4,2
Green,Green,0.96,5,2,0,0,0,10,0,0
National,National,0.77,8,5,0,2,3,5,6,1
Act,DK,1.63,6,1,1,5,8,5,1,2
NZ First,No Vote,1.10,5,7,8,0,5,5,0,0
Green,Labour,2.04,5,7,3,3,0,7,0,0
National,No Vote,0.34,8,5,0,0,6,3,0,0
Labour,Labour,0.31,5,9,2,2,0,3,5,2
National,National,0.35,10,2,0,5,5,0,0,0
Green,Labour,0.38,5,10,1,1,0,5,0,0
National,National,0.32,8,5,0,2,8,0,3,2
National,National,2.81,8,6,6,0,0,0,0,0
National,National,0.77,7,0,5,0,7,0,0,0
National,National,0.34,9,4,5,6,6,8,6,1
National,Labour,0.35,7,4,3,3,0,6,0,6
No Vote,NZFirst,0.49,6,4,7,5,5,2,0,0
Family,Christian Hetitage,0.64,7,2,0,1,4,0,4,0
National,National,0.67,10,1,5,5,5,0,5,0
NZ First,Labour,0.25,0,10,10,0,0,10,0,10
Labour,DK,0.69,5,8,6,3,6,6,6,3
National,National,0.38,10,1,0,4,7,4,3,3
Labour,Labour,1.36,5,5,0,0,0,0,0,0
Green,National,0.38,10,9,4,0,0,6,4,4
National,National,0.35,4,1,3,0,0,0,1,0
National,National,0.35,8,2,5,5,5,1,5,0
No Vote,Labour,0.49,7,4,4,0,0,0,0,0
National,Labour,0.49,5,5,7,0,0,6,5,5
Labour,Labour,0.60,0,9,3,3,2,8,3,3
NZ First,NZFirst,0.48,3,3,4,2,3,0,1,2
Labour,Labour,1.47,0,10,0,0,0,0,0,0
Labour,Labour,0.60,0,10,5,0,0,5,5,0
Labour,Labour,3.22,5,10,0,0,0,0,0,0
No Vote,No Vote,0.49,8,0,0,0,0,0,0,0
Act,Act,0.82,5,5,2,3,10,5,5,5
Labour,Labour,1.28,4,9,0,0,1,8,6,0
Labour,Labour,0.31,2,8,0,0,0,0,0,0
No Vote,,0.49,0,0,0,0,0,0,0,0
National,Green,0.88,7,5,0,4,4,6,0,0
Labour,Labour,0.31,2,9,7,4,5,8,5,5
National,No Vote,1.43,7,6,0,0,2,8,2,6
National,United F,0.88,9,3,0,10,0,1,1,0
Labour,Labour,0.29,0,10,0,0,0,0,0,0
National,National,0.67,10,3,3,0,3,6,0,0
Labour,Labour,0.30,7,10,2,5,5,6,8,5
National,National,0.88,7,0,0,2,2,0,0,0
Labour,DK,1.47,0,0,0,0,0,0,0,0
National,National,0.62,10,0,5,0,3,0,0,0
National,National,0.34,10,0,0,2,4,0,2,0
National,National,0.67,7,0,0,0,0,0,0,0
Labour,Labour,2.92,3,7,5,4,0,8,6,8
Green,Green,0.37,2,8,1,1,0,10,8,5
Labour,Labour,1.47,5,5,2,1,2,2,2,2
National,National,0.77,7,3,4,5,5,5,5,2
National,National,1.48,8,1,0,0,10,0,6,0
Labour,National,0.30,8,7,0,0,0,4,0,0
National,National,0.62,10,5,0,5,8,5,0,5
Labour,Labour,0.60,5,8,0,5,0,5,5,5
National,National,1.64,10,0,0,0,0,0,0,0
No Vote,No Vote,2.68,0,0,0,0,0,0,0,0
National,National,0.35,10,4,2,0,3,5,4,0
United F,National,1.06,7,1,0,8,0,5,0,0
Act,National,0.72,10,0,8,5,10,0,6,0
National,United F,0.77,8,2,4,4,4,2,5,4
National,National,0.35,8,0,0,4,0,0,0,0
National,Labour,2.42,8,7,4,0,4,4,0,0
National,Labour,0.35,8,3,1,1,4,0,0,1
No Vote,No Vote,0.54,5,5,2,2,2,1,3,2
National,National,0.67,10,3,0,4,4,0,0,0
Maori,,0.21,8,3,0,0,6,3,7,0
Labour,Green,0.29,3,9,5,4,1,9,7,10
National,United F,0.77,8,2,2,9,6,3,5,3
Labour,Green,1.57,2,10,2,1,1,9,5,5
National,National,0.67,7,5,1,0,6,1,0,0
National,National,0.35,10,6,7,5,5,6,3,3
Labour,Labour,0.55,8,8,3,5,6,7,7,4
Labour,Labour,0.29,2,8,2,2,2,5,8,0
Labour,Labour,0.31,8,10,7,0,0,0,0,0
Labour,Labour,1.47,5,10,2,2,0,5,2,8
National,Labour,1.52,5,6,0,4,0,0,3,4
National,National,0.34,9,3,3,5,5,6,5,0
Labour,Labour,0.31,2,9,7,5,5,1,0,5
National,National,0.67,10,6,4,5,5,3,1,3
Labour,Labour,0.29,3,10,2,5,0,7,3,4
Act,Labour,0.72,8,5,2,2,8,1,5,1
National,National,0.67,8,0,1,3,9,3,0,2
Green,Labour,0.35,4,8,0,0,0,10,5,7
NZ First,National,1.18,9,0,9,0,0,0,0,0
Labour,National,0.79,8,7,2,0,0,0,3,0
Labour,Labour,0.69,5,5,5,5,5,5,5,5
Labour,Maori,0.60,7,10,6,2,5,7,8,0
National,National,0.88,8,3,0,5,4,6,0,6
Green,Labour,0.42,5,7,0,0,4,7,6,7
National,National,0.77,8,4,0,0,9,8,8,5
Green,Green,0.73,5,5,1,0,0,8,0,0
National,National,1.52,10,6,5,0,6,5,0,0
National,Labour,0.77,7,6,0,0,0,0,0,0
Labour,Labour,0.89,4,7,0,5,3,9,8,5
Labour,Labour,0.60,6,10,1,1,3,6,3,1
National,National,1.64,8,2,2,6,5,0,2,2
Labour,Labour,0.55,4,9,8,5,1,2,5,5
National,No Vote,3.60,10,5,0,0,9,0,0,0
National,,2.81,8,5,2,6,8,5,2,5
Labour,Labour,0.60,4,7,0,0,0,8,5,0
NZ First,NZFirst,1.10,8,1,10,10,6,1,6,1
National,National,0.35,0,3,2,5,5,0,7,4
National,National,1.00,7,3,2,5,5,1,2,5
National,National,0.67,9,3,0,3,8,8,3,3
Labour,Labour,0.34,8,8,4,4,4,7,4,4
National,National,1.52,8,3,1,0,1,0,0,0
Labour,No Vote,0.34,5,7,1,0,0,6,0,0
National,Labour,1.52,8,5,0,0,0,7,0,0
National,National,0.35,8,6,0,5,5,2,3,1
National,National,0.29,8,5,5,2,3,0,5,5
NZ First,NZFirst,0.25,9,8,10,0,0,0,8,0
National,National,0.29,8,5,4,0,0,5,0,0
National,Labour,1.64,6,0,0,0,5,5,0,0
No Vote,DK,5.00,7,7,4,4,4,8,2,4
No Vote,Destiny,1.84,5,3,5,0,0,1,0,0
NZ First,National,0.25,9,1,0,3,3,0,0,0
Labour,Labour,1.47,0,10,0,0,0,0,0,0
Labour,Labour,0.31,8,10,6,0,0,9,0,0
Green,Green,0.84,5,5,0,0,2,10,4,2
Labour,Labour,0.31,0,10,5,0,0,5,0,0
NZ First,DK,0.25,0,0,0,0,0,0,0,0
National,National,0.34,8,5,0,8,1,8,10,0
National,National,0.35,0,0,0,0,0,0,0,0
National,National,0.77,9,5,1,5,5,5,5,0
Labour,Labour,2.16,9,10,4,0,0,10,1,10
NZ First,Labour,0.25,7,9,10,7,1,10,7,7
Labour,Labour,0.31,5,10,10,0,0,4,1,9
National,National,0.35,10,1,5,5,5,0,5,2
Family,United F,,5,5,3,7,4,4,3,4
Labour,Labour,0.34,5,10,5,5,5,5,5,5
National,National,1.00,9,1,0,5,5,4,5,0
National,Labour,2.42,10,5,0,0,5,0,0,0
Labour,Labour,0.60,6,8,4,2,4,6,2,2
Act,No Vote,0.41,5,4,0,2,5,4,5,0
Labour,Labour,0.31,0,0,0,0,0,0,0,0
NZ First,NZFirst,0.25,2,3,1,0,0,0,0,0
Labour,Labour,0.60,5,8,5,5,5,6,6,5
National,National,0.35,10,4,3,2,2,3,3,3
Labour,Labour,0.89,8,7,7,5,5,4,4,5
Labour,Labour,0.31,4,7,0,0,2,9,0,0
National,National,1.64,10,2,0,6,6,1,4,0
National,National,0.88,6,4,1,2,5,0,1,0
National,No Vote,3.27,10,1,7,3,7,5,0,1
Labour,Labour,0.26,6,10,0,0,0,4,1,0
National,National,2.42,9,1,5,2,7,0,0,0
Labour,Labour,2.92,0,0,0,0,0,0,0,0
National,NZFirst,0.35,7,7,4,4,4,4,0,0
National,National,0.35,8,4,4,6,6,1,1,4
No Vote,No Vote,0.49,0,0,0,0,0,0,0,0
Labour,Labour,1.47,5,8,0,2,0,3,4,2
Labour,Labour,0.31,0,0,10,0,0,10,0,0
National,National,1.52,5,3,0,0,0,0,0,0
National,National,0.35,10,0,0,0,0,0,0,0
Labour,Labour,0.60,0,10,0,0,0,8,8,0
Labour,Labour,0.30,5,8,2,0,0,5,0,0
National,National,0.88,10,0,0,0,7,0,0,0
No Vote,No Vote,2.33,0,6,0,0,0,0,0,0
Labour,Labour,0.89,0,9,0,0,0,9,2,0
National,National,0.77,10,2,2,5,10,3,6,2
National,Labour,0.35,6,6,3,0,0,0,0,0
National,DK,0.77,6,5,5,5,5,0,0,0
National,National,0.32,5,5,0,0,0,0,0,0
National,No Vote,,10,0,0,0,7,1,0,0
Labour,National,0.79,9,7,4,0,7,7,4,0
National,National,1.64,8,1,0,1,3,1,1,1
National,National,0.35,10,0,0,3,3,0,0,0
National,DK,0.77,9,5,5,5,8,5,2,2
No Vote,No Vote,1.21,8,1,10,4,10,1,9,0
No Vote,No Vote,2.68,5,5,0,0,0,0,0,0
Labour,Labour,0.60,0,0,0,0,0,0,0,0
National,National,0.35,10,0,0,0,0,0,0,0
Labour,Labour,0.60,10,10,0,0,1,5,0,1
No Vote,National,5.32,10,0,0,0,0,0,10,0
Act,Destiny,1.07,5,5,1,10,8,2,0,0
National,National,0.88,8,0,0,5,7,5,2,0
National,Labour,0.38,10,9,0,2,8,4,1,0
Labour,Labour,1.36,5,9,0,0,0,10,0,0
NZ First,NZFirst,2.35,0,10,10,0,2,5,1,0
Labour,Labour,0.60,1,7,0,0,5,2,0,0
National,National,0.77,8,1,1,2,8,1,1,1
Green,Green,0.96,4,9,5,5,5,10,5,5
National,No Vote,0.88,8,2,2,0,6,4,5,0
Labour,Labour,2.16,5,10,5,5,5,5,5,5
Labour,Labour,0.89,5,5,0,0,0,0,0,0
National,National,1.52,10,5,5,0,7,7,0,0
Act,National,0.72,9,1,1,6,8,4,1,3
National,National,0.35,10,0,0,0,0,0,0,0
Labour,Labour,0.79,5,8,0,0,0,6,0,0
Labour,Labour,0.31,5,9,4,1,0,1,1,1
Labour,Labour,0.31,6,10,9,0,0,9,6,0
National,Labour,2.33,5,0,0,0,0,0,0,0
National,National,0.35,10,0,0,7,8,4,4,4
NZ First,National,0.25,0,0,0,0,0,0,0,0
National,National,1.00,8,2,0,8,5,10,0,5
Labour,Labour,3.22,0,4,0,0,0,0,4,0
Labour,Labour,2.92,9,9,3,3,0,5,8,6
Labour,Labour,0.29,0,10,0,0,0,9,6,6
National,NZFirst,2.42,8,2,0,0,0,0,2,0
National,Labour,0.35,5,7,2,6,6,0,6,6
Labour,Labour,0.60,3,10,5,5,3,8,3,5
National,National,0.62,10,6,2,6,7,2,6,2
Labour,Labour,0.31,3,10,7,0,0,5,5,10
National,National,0.77,10,1,3,5,8,4,6,3
National,National,0.35,9,5,5,6,9,5,7,5
Family,Labour,1.26,6,2,2,5,4,1,5,0
National,National,0.67,7,3,6,8,6,7,6,0
Labour,Labour,2.16,0,10,0,0,0,0,0,0
National,No Vote,0.35,10,8,0,0,9,9,0,0
National,DK,1.76,5,3,0,2,2,5,5,5
National,National,1.00,9,4,0,3,4,2,3,0
Labour,Labour,2.16,1,9,0,0,0,9,0,4
National,National,1.43,10,1,0,0,5,5,3,0
Labour,NZFirst,1.47,3,9,5,5,6,4,3,4
Labour,Labour,0.89,2,9,0,0,0,9,7,0
National,DK,2.81,8,5,3,7,7,1,7,5
National,National,0.38,8,1,0,0,4,4,4,0
NZ First,NZFirst,0.48,7,7,7,2,0,7,0,2
Labour,Labour,1.47,2,9,8,5,5,5,7,6
National,National,0.67,10,0,0,5,5,0,0,0
Green,Green,1.80,0,0,0,6,6,6,2,0
Labour,Alliance,0.31,0,0,0,0,0,0,0,0
Green,Labour,0.68,3,5,0,0,0,7,1,1
National,National,0.35,8,5,0,0,0,0,0,0
National,Labour,1.43,10,7,0,0,0,3,0,0
Labour,Labour,0.29,1,8,1,2,3,5,7,1
Labour,Labour,0.69,5,5,1,0,0,8,0,0
National,National,0.35,7,4,2,4,5,2,5,4
National,Green,0.29,7,4,6,3,5,5,1,2
National,Act,0.35,9,1,2,7,10,0,1,4
Labour,Labour,1.47,0,10,0,0,0,0,0,0
National,National,1.48,10,4,0,6,7,0,5,4
Labour,Labour,2.16,8,10,7,0,0,0,0,0
Progressive,Labour,1.19,3,7,1,0,1,7,5,10
National,National,0.67,10,6,4,4,4,2,1,2
Labour,Labour,1.28,5,9,3,2,2,9,5,5
Green,Labour,0.19,3,7,1,2,1,8,2,5
National,National,0.34,7,5,5,4,6,3,5,5
National,National,0.35,6,5,0,0,3,0,0,0
Labour,Labour,0.60,3,10,0,0,0,10,7,10
Labour,Labour,0.31,0,10,0,0,0,0,0,0
Labour,Labour,1.36,5,8,0,0,0,8,0,0
Labour,Labour,0.29,4,10,6,2,1,8,7,6
National,Labour,0.70,3,3,0,0,1,1,0,0
Labour,Labour,0.34,1,9,0,0,0,8,5,8
Labour,Labour,0.79,5,10,5,5,9,0,5,5
National,National,0.34,7,4,2,4,7,0,2,0
National,National,0.32,7,3,0,0,6,2,0,0
Green,DK,1.62,5,5,5,0,0,5,0,0
Labour,Labour,1.84,0,10,3,3,3,4,5,6
NZ First,Labour,0.55,6,1,6,5,0,0,5,5
Labour,Labour,0.69,3,9,6,0,0,1,6,9
Green,Green,0.35,3,7,2,2,2,8,6,2
National,DK,0.67,5,0,0,0,0,3,0,0
Green,Labour,0.19,3,8,5,5,0,8,6,8
Labour,Labour,0.79,2,10,3,0,3,8,4,4
Labour,Labour,0.30,2,10,0,0,0,7,5,8
National,Labour,0.88,10,5,0,0,4,8,5,0
National,Labour,1.76,7,6,3,3,3,7,6,0
Act,National,0.36,10,2,0,5,10,2,2,0
National,Act,1.48,9,4,1,1,2,9,2,0
Progressive,No Vote,1.15,6,7,3,8,1,5,6,8
National,Labour,0.88,6,6,4,4,3,9,3,3
Labour,Labour,0.31,3,10,4,0,0,9,6,0
National,Labour,1.76,6,5,0,1,1,5,5,1
Green,Green,1.67,2,10,5,5,5,10,6,5
Labour,Green,1.84,3,8,1,2,0,8,5,7
National,National,0.67,8,3,3,0,0,0,0,0
National,Labour,1.52,9,7,0,0,0,7,0,0
Labour,Labour,0.60,7,10,2,0,0,0,0,0
Green,Labour,0.96,6,8,2,2,2,7,5,3
Labour,Labour,0.15,5,9,0,1,5,8,8,8
Green,Labour,1.93,3,7,0,0,0,9,0,0
Labour,Labour,0.79,3,8,3,0,0,5,4,6
Green,Green,0.32,2,9,1,3,3,10,7,5
Green,Green,0.96,2,9,2,2,0,9,0,9
Green,Green,0.35,2,8,0,0,0,10,0,0
Labour,Labour,2.92,4,9,6,3,3,8,7,2
Labour,Labour,0.34,3,8,1,1,1,2,2,1
National,Labour,0.35,10,5,0,0,0,10,0,0
Labour,Labour,0.29,6,8,0,0,0,6,6,5
Labour,Labour,0.29,7,8,2,1,5,10,5,0
Labour,Labour,0.60,0,10,0,0,0,9,0,9
National,Green,1.43,7,7,1,2,5,6,2,0
Labour,Labour,1.57,2,8,5,5,1,6,5,2
Labour,Labour,2.92,8,10,7,6,6,10,6,6
National,No Vote,0.34,5,5,0,5,0,5,0,5
National,Act,0.88,6,3,1,1,6,3,0,1
Green,Labour,1.39,6,7,0,1,1,8,4,5
National,National,3.27,9,8,3,1,4,4,2,0
Labour,Labour,0.79,8,10,2,0,0,7,5,0
National,National,0.88,9,3,3,3,6,0,2,2
Labour,No Vote,0.79,5,5,0,0,0,0,0,0
National,Labour,0.35,8,8,0,4,4,5,0,1
National,National,1.43,8,7,3,4,4,7,3,0
Labour,Labour,0.30,0,10,6,0,0,10,6,6
National,DK,0.67,5,5,5,5,5,5,5,5
National,Labour,0.77,8,7,0,5,5,4,5,5
Labour,Labour,0.79,0,10,0,0,5,3,0,0
Labour,Labour,0.60,0,10,2,4,3,3,0,0
National,National,1.48,8,3,1,6,3,6,7,2
National,National,0.77,10,4,0,4,5,1,5,1
Labour,DK,0.60,0,10,10,0,0,0,0,0
National,National,1.48,9,4,0,2,5,5,0,0
National,DK,1.52,5,3,0,5,5,2,5,0
National,National,2.81,6,4,4,5,5,5,0,0
National,National,1.52,10,4,4,3,6,6,5,3
Green,Green,0.37,2,9,1,1,0,10,10,0
United F,No Vote,0.46,7,5,5,7,7,5,5,5
National,Labour,0.88,5,8,0,0,2,5,0,0
Labour,Labour,2.16,8,8,0,0,8,0,0,0
Act,Act,1.53,7,3,5,0,8,8,8,6
Progressive,Labour,1.95,2,7,4,0,0,2,2,10
Labour,Labour,0.30,2,10,0,0,0,6,2,10
Labour,Labour,0.31,0,10,0,0,0,0,0,0
Labour,Labour,0.98,0,10,0,0,0,0,0,0
Labour,Labour,0.98,5,9,4,0,0,6,3,0
Labour,Labour,2.16,0,10,0,0,0,0,0,0
National,Act,0.62,7,5,5,5,5,5,2,4
Labour,Labour,0.69,4,6,1,3,2,1,5,5
Labour,Labour,0.60,0,10,5,0,2,5,5,0
Labour,Labour,0.30,8,5,0,0,2,5,1,0
Labour,Labour,0.98,0,10,5,0,0,0,0,0
Labour,Labour,0.30,5,9,1,1,1,8,7,8
Act,Act,0.45,9,4,4,6,10,0,8,3
Labour,Labour,1.47,0,8,0,0,0,0,0,0
Act,National,0.27,7,3,1,6,6,6,6,1
National,National,0.86,8,0,5,6,8,0,0,5
National,Labour,0.33,7,3,2,2,2,2,2,2
Labour,Labour,0.30,1,6,3,0,0,3,0,5
National,National,0.33,9,9,5,5,2,2,0,10
National,National,0.33,10,2,6,5,10,2,7,2
NZ First,NZFirst,0.24,6,6,9,0,0,0,8,0
National,National,0.33,10,0,0,0,5,0,5,0
National,DK,0.35,8,0,5,1,7,0,0,0
Labour,Labour,0.30,4,9,4,4,2,5,4,5
National,Labour,0.33,4,4,4,4,4,4,4,4
National,Labour,1.64,7,0,0,0,0,0,0,0
Progressive,NZFirst,1.32,4,1,5,0,5,5,7,0
National,DK,0.67,5,5,5,5,5,5,5,5
Labour,Labour,1.05,6,8,6,0,5,0,0,6
National,National,0.67,10,2,0,2,5,3,3,0
Labour,Labour,0.69,4,6,0,3,3,6,6,6
National,Labour,0.67,7,7,2,2,0,5,0,0
Labour,Labour,0.77,0,10,3,0,0,10,9,5
National,National,1.80,9,2,0,0,10,2,0,0
National,National,0.86,7,2,4,3,4,0,5,1
National,National,0.86,10,0,0,0,0,0,0,0
National,National,3.57,10,0,0,0,7,0,3,0
Labour,Labour,0.98,0,10,0,0,0,10,0,0
National,National,0.86,8,6,5,6,6,7,7,5
National,Labour,2.91,6,6,2,0,0,3,0,0
National,National,0.42,8,3,2,5,4,6,5,2
Labour,Labour,1.47,0,10,0,0,0,0,0,0
Labour,Labour,0.55,4,7,7,4,2,6,5,7
National,National,2.42,9,1,1,1,2,1,1,1
National,National,0.35,8,3,3,5,8,0,3,0
Labour,Labour,0.31,1,10,10,2,0,2,1,8
National,Labour,1.64,5,3,1,0,1,1,1,0
National,United F,0.32,7,0,2,8,10,0,0,0
National,National,0.33,10,0,0,0,5,2,0,0
National,National,1.80,9,0,7,7,6,1,1,0
National,National,1.00,10,0,2,8,5,0,5,2
National,National,0.33,0,0,0,0,0,1,0,1
National,,0.33,9,2,0,3,7,0,0,0
Labour,Labour,0.98,0,8,0,0,0,0,0,0
Green,United F,0.36,3,8,2,5,0,9,5,5
National,National,1.10,8,2,2,2,2,0,4,1
Labour,Labour,0.31,4,7,2,2,2,7,3,3
Labour,Labour,0.77,2,4,2,2,2,3,3,3
Maori,NZFirst,1.07,0,0,10,0,0,0,10,0
Maori,Labour,5.33,0,0,0,0,0,0,10,0
Maori,Labour,0.23,8,8,0,2,2,3,9,2
Labour,,0.30,0,10,6,0,0,9,8,9
Labour,Labour,0.31,5,10,7,0,0,8,5,0
Green,Labour,1.28,0,5,5,0,0,10,0,0
Maori,Green,0.91,5,5,0,0,0,10,10,0
Labour,Labour,0.34,5,8,2,0,2,2,0,3
Maori,Labour,2.67,1,7,5,0,4,5,7,0
Maori,Maori,0.47,0,0,0,0,0,0,10,0
NZ First,NZFirst,0.62,5,5,6,0,0,0,6,0
Labour,Labour,3.19,3,10,0,0,0,0,7,0
NZ First,NZFirst,1.74,0,0,10,0,0,0,10,0
Labour,Labour,4.48,5,10,8,5,5,7,10,5
NZ First,NZFirst,0.25,4,9,10,2,2,4,5,7
Labour,Labour,1.36,2,6,4,0,0,6,0,0
Maori,Labour,0.21,10,4,10,0,0,0,10,0
Labour,Labour,4.48,2,10,1,0,0,4,10,2
Labour,Labour,4.00,7,9,4,1,0,4,9,0
Maori,NZFirst,0.91,6,5,5,3,3,2,9,2
Labour,Labour,1.61,6,4,6,4,2,1,1,0
Labour,Labour,0.89,2,8,0,0,1,7,7,0
Labour,Labour,1.36,0,10,10,0,0,10,10,10
Labour,,,6,0,2,6,5,4,0,3
Maori,Maori,0.65,3,7,5,5,5,5,10,5
Labour,Labour,1.21,9,10,5,2,0,7,7,0
Green,Green,0.59,0,6,0,0,0,10,5,5
Labour,,0.98,5,5,5,5,5,5,5,5
Maori,NZFirst,0.20,8,6,8,0,6,3,10,0
Maori,Labour,0.25,5,10,5,0,0,5,10,5
Labour,No Vote,2.81,3,8,0,0,0,8,6,3
Maori,Maori,0.91,3,10,2,5,5,8,10,5
Maori,Maori,0.40,5,9,5,0,0,9,9,7
Maori,No Vote,5.28,4,4,3,5,5,8,8,5
Labour,Labour,0.48,5,5,6,2,5,2,5,3
Labour,Labour,2.92,0,10,4,0,0,9,1,4
Maori,Maori,0.21,8,9,7,2,4,9,10,2
National,Labour,1.62,9,5,7,7,7,8,8,4
Maori,Labour,0.51,0,10,8,0,0,9,9,9
Maori,Maori,1.62,3,3,5,7,7,9,9,5
Labour,Labour,3.19,4,8,5,0,0,4,5,0
Labour,Labour,0.29,6,6,3,2,3,6,6,0
No Vote,No Vote,1.62,3,7,4,3,3,4,5,3
National,No Vote,2.65,8,6,1,0,0,0,0,0
Labour,Labour,1.48,1,10,10,5,2,10,10,10
Maori,Labour,0.40,6,8,7,8,4,8,9,4
Maori,No Vote,0.21,5,5,10,0,0,0,10,0
Maori,Labour,1.56,5,7,3,8,3,4,10,7
Labour,Labour,0.77,1,7,7,0,0,6,7,0
