lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.155590278,0.067944167,0.271776667,0.163220034,4.200700117,2.676989061,0.277777778,-1.406723695,-1.507037414,1
0.368429444,0.092107361,0.368429444,0.28318798,1.906274821,2.508600577,1,-1.11E-15,-0.889826874,1
0.372715833,0.093178958,0.372715833,0.28585551,1.921024546,2.197111425,1,-1.11E-15,-0.937657206,1
0.221825278,0.089380556,0.357522222,0.225678082,3.207126949,2.672406412,0.279444444,-1.486259216,-1.38185377,1
0.148117778,0.081693889,0.326775556,0.180488151,3.359776015,2.452398201,0.333333333,-1.098612289,-1.30041025,1
0.300079722,0.106265,0.42506,0.268832538,2.490487721,2.091225551,1,-1.11E-15,-1.059696682,1
0.166078056,0.081495486,0.325981944,0.193411064,3.325635104,2.712145341,0.333333333,-1.098612289,-1.335214851,1
0.142177778,0.062894167,0.251576667,0.154655141,3.404255319,2.510716605,0.333333333,-1.098612289,-1.292999238,1
0.311344444,0.113795903,0.455183611,0.280654752,2.694610778,2.67901899,1,-1.11E-15,-1.139590584,1
0.139255833,0.071124514,0.284498056,0.16674632,3.61627323,2.366189457,0.250555556,-1.542310459,-1.403200785,1
0.144179722,0.072930208,0.291720833,0.167255586,3.986710963,2.340017142,0.247222222,-1.491438689,-1.460717638,1
0.147208889,0.059739167,0.238956667,0.145817252,3.225806452,2.820136968,0.277777778,-1.406723695,-1.333974639,1
0.092887222,0.043857014,0.175428056,0.114932671,3.4416826,3.459465824,0.333333333,-1.098612289,-1.349018651,1
0.117888056,0.055933333,0.223733333,0.131637252,4.376899696,2.54138053,0.277777778,-1.406723695,-1.541712705,1
0.191127778,0.064547083,0.258188333,0.170964551,2.792862684,2.989511843,0.333333333,-1.242453325,-1.143122104,1
0.329300278,0.089316458,0.357265833,0.265072664,2.281368821,2.316195652,1,-1.11E-15,-1.105103659,1
0.247299444,0.103731667,0.414926667,0.254697331,2.327837051,2.177960957,1,-1.11E-15,-0.952818052,1
0.241834444,0.080671736,0.322686944,0.217177438,3.623553095,2.536216679,0.4,-1.227529411,-1.483732001,1
