lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.017021667,0.012209583,0.048838333,0.030480989,7.877461707,2.665710141,0.135918367,-2.033425167,-2.071397089,1
0.016813333,0.008210833,0.032843333,0.018372504,7.955801105,5.841271818,0.136938776,-2.034168277,-2.076696497,1
0.025141667,0.02071875,0.082875,0.049772862,7.692307692,6.817538015,0.136632653,-2.030091042,-2.057871354,1
0.033955,0.018871667,0.075486667,0.043917701,7.766990291,4.814621632,0.136632653,-2.031122385,-2.064298373,1
0.024901667,0.01861375,0.074455,0.043771013,7.75862069,6.639025446,0.13744898,-2.021491229,-2.063202435,1
0.032495,0.020646667,0.082586667,0.054436005,7.627118644,6.332444066,0.138571429,-2.006593022,-2.052550103,1
0.06643,0.02694,0.10776,0.067389705,7.453416149,6.631524039,0.13755102,-2.030452339,-2.043708618,1
0.016813333,0.008210833,0.032843333,0.018372504,7.955801105,5.845972823,0.136938776,-2.034168277,-2.076696497,1
0.025833333,0.022610417,0.090441667,0.048551077,7.700534759,5.558316113,0.138265306,-2.02190131,-2.059094517,1
0.033955,0.018871667,0.075486667,0.043917701,7.766990291,4.814490774,0.136632653,-2.031122385,-2.064298373,1
0.024901667,0.01861375,0.074455,0.043771013,7.75862069,6.636262284,0.13744898,-2.021491229,-2.063202435,1
0.074335,0.026865833,0.107463333,0.070130849,7.407407407,6.265083687,0.138673469,-2.030969189,-2.041118906,1
0.058358333,0.031259167,0.125036667,0.079299793,7.265388496,6.395577497,0.139421769,-2.017872209,-2.026361729,1
0.075203333,0.033433333,0.133733333,0.075593924,7.33197556,6.594213077,0.143197279,-2.009762763,-2.036203524,1
0.041091667,0.025177917,0.100711667,0.067641295,7.453416149,6.250736599,0.139489796,-1.995921928,-2.037096021,1
0.074056667,0.029146667,0.116586667,0.073798823,7.346938776,5.645919355,0.13755102,-2.031454031,-2.037174432,1
0.082183333,0.030602917,0.122411667,0.07920365,7.250755287,6.607301448,0.138265306,-2.031542259,-2.029162667,1
0.033535,0.022690417,0.090761667,0.050327011,7.684098186,6.592251847,0.136632653,-2.031711402,-2.05866201,1
0.025021667,0.018339583,0.073358333,0.039167255,7.800650054,5.783265366,0.13877551,-2.019555118,-2.066363211,1
