6,
308,
0,27039,3158,24895,10606,485,
0,23910,2547,1496,14199,636,
15475,3664,898,4369,23033,213,
0,4256,139,4177,2120,0,
1689,15394,2315,18457,16253,0,
0,29546,1701,7264,12299,413,
0,33754,2702,9940,12174,370,
0,35569,2943,4990,11277,353,
6151,5516,946,11172,17691,496,
17799,5246,1423,7169,24800,149,
17991,1764,1324,4976,23373,685,
7022,8587,966,11108,25703,563,
0,29991,2460,7839,9033,0,
0,27173,2095,4030,13072,1716,
0,19468,2177,17803,12996,229,
0,27675,1703,16652,16109,65,
0,14294,1202,4893,21689,535,
14181,4339,1032,5321,27119,228,
8381,22460,936,2866,21683,0,
14640,13207,996,8110,23373,143,
8148,21334,857,3612,22629,175,
8757,25850,903,3421,19890,0,
0,40007,2389,1898,5335,2006,
0,14224,612,12309,6562,1290,
0,7934,785,8605,2970,0,
10495,3878,898,1882,16437,0,
15470,5768,1208,7035,29107,0,
0,17734,1597,19429,10897,231,
0,30719,1868,4416,5616,317,
7481,21931,655,2601,11716,250,
0,16112,735,6800,7097,0,
0,18796,1032,18120,8836,241,
0,22991,1532,18393,6354,194,
0,23632,1044,18579,9465,127,
0,29793,1694,21541,10327,99,
0,22104,1802,18651,7834,0,
0,17408,2016,15247,14053,0,
19609,5118,2347,3501,34434,0,
9550,17276,691,2743,17285,0,
16425,9660,814,2628,17601,0,
1136,13891,683,16151,6963,183,
0,30469,4482,4984,25165,538,
0,24497,5005,3007,31272,170,
0,43477,3260,20146,12962,0,
0,18066,1646,4320,7413,450,
0,20776,2160,4069,23023,95,
0,31600,2628,13908,8886,1180,
0,14437,1520,14510,15413,239,
0,28748,2086,10206,12681,259,
0,33701,2530,8699,12734,1199,
0,12503,1252,6308,24566,59,
0,15495,2518,15477,8781,0,
0,28996,3004,17665,9617,350,
0,32853,2733,12822,12626,0,
3983,6574,1914,14407,17943,338,
0,3930,160,2260,1525,0,
0,46241,2349,25561,15229,1080,
0,30068,2140,17890,8117,0,
0,28525,5005,5815,12853,1040,
0,31439,6058,4246,14955,0,
0,26034,1631,3536,19212,321,
0,14063,3262,13049,33805,689,
0,19634,1787,25963,10712,895,
0,25226,2279,17790,11128,0,
0,28584,1839,24649,9086,0,
0,14184,2716,20009,15391,122,
