wpe,lijphart,loosemorehanby,raes,gallagher,enp,governability,entropy,alpha
3,0.033905833,0.067890667,0.016972667,0.040356784,7.800650054,0.136734694,-2.033079834,10
3,0.0249745,0.073173,0.01829325,0.040607721,7.783783784,0.13755102,-2.030200121,10
3,0.064240667,0.1194655,0.029866375,0.070379481,7.369498465,0.137040816,-2.032199914,10
3,0.040419167,0.073965,0.01849125,0.048380571,7.700534759,0.137244898,-2.02782478,10
3,0.032449833,0.056191833,0.014047958,0.036139578,7.826086957,0.137040816,-2.031978206,10
3,0.032643333,0.089156167,0.022289042,0.050149596,7.675906183,0.137142857,-2.03187674,10
3,0.040296667,0.121841,0.03046025,0.066893137,7.438016529,0.137959184,-2.023311246,10
3,0.0250375,0.066656667,0.016664167,0.039389698,7.800650054,0.136734694,-2.028758271,10
3,0.040288167,0.0968305,0.024207625,0.058888597,7.555089192,0.13755102,-2.021878706,10
4,0.025378667,0.073818667,0.018454667,0.040435713,7.792207792,0.136938776,-2.026603146,10
4,0.016669333,0.04906,0.012265,0.034679132,7.843137255,0.141122449,-1.973554886,10
4,0.024605333,0.050133333,0.012533333,0.030915095,7.877461707,0.136734694,-2.03070316,10
4,0.042330667,0.075303333,0.018825833,0.047834858,7.717041801,0.13744898,-2.026086044,10
4,0.017564667,0.04294,0.010735,0.025459734,7.920792079,0.136632653,-2.031711402,10
4,0.03385,0.067472667,0.016868167,0.039234202,7.809110629,0.136836735,-2.032503036,10
4,0.016332,0.040334,0.0100835,0.02398829,7.920792079,0.137653061,-2.017402474,10
4,0.025583333,0.080295333,0.020073833,0.051225424,7.659574468,0.140408163,-1.982615695,10
4,0.04776,0.097776,0.024444,0.054223529,7.619047619,0.137653061,-2.031754164,10
4,0.032388667,0.063975333,0.015993833,0.039743689,7.792207792,0.137142857,-2.02808234,10
4,0.024712,0.072492,0.018123,0.038799387,7.800650054,0.136632653,-2.031711402,10
4,0.024944,0.081256,0.020314,0.047260184,7.708779443,0.137653061,-2.017402474,10
4,0.05518,0.106086,0.0265215,0.064804178,7.461139896,0.13755102,-2.030353538,10
4,0.025350667,0.055683333,0.013920833,0.03130334,7.868852459,0.136632653,-2.031122385,10
4,0.033087333,0.058552,0.014638,0.036720077,7.826086957,0.137346939,-2.027831196,10
4,0.024906,0.088404667,0.022101167,0.04957516,7.675906183,0.13877551,-2.008491194,10
4,0.025351333,0.082996667,0.020749167,0.046243987,7.733619764,0.137857143,-2.024026727,10
4,0.031813333,0.062722,0.0156805,0.035377678,7.826086957,0.137142857,-2.033345881,10
4,0.032000667,0.088966667,0.022241667,0.046847266,7.708779443,0.136938776,-2.031707421,10
4,0.031193333,0.08114,0.020285,0.045552379,7.725321888,0.13744898,-2.023919685,10
4,0.031999333,0.063413333,0.015853333,0.035563907,7.826086957,0.137346939,-2.031645842,10
4,0.048950667,0.073510667,0.018377667,0.051328898,7.659574468,0.13755102,-2.031173353,10
4,0.032842,0.081333333,0.020333333,0.052862473,7.635206787,0.139897959,-1.989828915,10
4,0.016540667,0.041512,0.010378,0.028207187,7.894736842,0.140408163,-1.982615695,10
4,0.031815333,0.063722667,0.015930667,0.041926349,7.75862069,0.137755102,-2.019883987,10
4,0.024372,0.066012,0.016503,0.036767846,7.826086957,0.137142857,-2.03187674,10
4,0.024512,0.09018,0.022545,0.055326017,7.610993658,0.136632653,-2.027485328,10
4,0.032422667,0.072094,0.0180235,0.04587831,7.717041801,0.137142857,-2.029179995,10
4,0.047604,0.097964,0.024491,0.062590426,7.5,0.137857143,-2.028317019,10
4,0.040328667,0.065193333,0.016298333,0.047646054,7.700534759,0.13755102,-2.020354614,10
1,0.057078167,0.123313167,0.030828292,0.071445018,7.37704918,0.137040816,-2.029935565,20
1,0.041842333,0.092421667,0.023105417,0.052880555,7.659574468,0.136632653,-2.03359811,20
1,0.058375833,0.075666667,0.018916667,0.050851318,7.684098186,0.140408163,-2.028321794,20
1,0.033584167,0.065707,0.01642675,0.038058409,7.817589577,0.13744898,-2.03034198,20
1,0.016733,0.066726833,0.016681708,0.03632969,7.834602829,0.13755102,-2.024754938,20
1,0.049415667,0.149026333,0.037256583,0.076886624,7.302231237,0.139285714,-2.020719423,20
1,0.0669225,0.082915833,0.020728958,0.062740101,7.523510972,0.13877551,-2.028712799,20
1,0.057458,0.116454,0.0291135,0.072140694,7.37704918,0.13755102,-2.024913465,20
1,0.033776333,0.059774833,0.014943708,0.040356557,7.800650054,0.13755102,-2.028345778,20
1,0.049099,0.090363,0.02259075,0.058031518,7.578947368,0.137142857,-2.028007478,20
1,0.034091333,0.082525333,0.020631333,0.046111743,7.733619764,0.13744898,-2.026856228,20
1,0.041509333,0.091163,0.02279075,0.055333968,7.627118644,0.136938776,-2.030744888,20
1,0.041983833,0.107273167,0.026818292,0.057833267,7.586933614,0.138265306,-2.028260768,20
1,0.0336405,0.0916355,0.022908875,0.054244235,7.643312102,0.137040816,-2.025849585,20
1,0.025150833,0.082373667,0.020593417,0.04505504,7.741935484,0.138265306,-2.02190131,20
1,0.041208167,0.066222667,0.016555667,0.039663084,7.800650054,0.13877551,-2.029756767,20
1,0.041867,0.057668,0.014417,0.038203908,7.817589577,0.138979592,-2.030740376,20
1,0.0323875,0.084185,0.02104625,0.04867948,7.708779443,0.136632653,-2.031628076,20
1,0.082978,0.108432,0.027108,0.072776739,7.369498465,0.14,-2.028722284,20
