wpe,lijphart,loosemorehanby,raes,gallagher,enp,governability,entropy,
1,0.34088,0.34088,0.0973942857142857,0.265803670659589,2.76285495011512,1,-2.22044604925031E-16,
1,0.349256666666667,0.398615,0.11389,0.280851911393413,2.33690360272639,1,-2.22044604925031E-16,
1,0.278456666666667,0.286985,0.0819957142857143,0.221752638691554,2.86510147234381,0.333333333333333,-1.242453324894,
1,0.245075,0.443785,0.126795714285714,0.265922492310573,2.25705329153605,1,-2.22044604925031E-16,
1,0.36802,0.493316666666667,0.140947619047619,0.32472908034579,2.62199563000728,1,-2.22044604925031E-16,
1,0.243196666666667,0.467456666666667,0.133559047619048,0.283006246500556,2.38568588469185,0.361666666666667,-1.26905406569588,
1,0.39676,0.39676,0.11336,0.307525945400456,1.84947341381968,1,-2.22044604925031E-16,
1,0.40518,0.40518,0.115765714285714,0.314727182263553,2.23394353087186,1,-2.22044604925031E-16,
1,0.446145,0.488188333333333,0.139482380952381,0.358056309262632,2.2995847971894,1,-2.22044604925031E-16,
1,0.379411666666667,0.379411666666667,0.108403333333333,0.293805407010982,2.95081967213115,0.466666666666666,-1.17299347243951,
1,0.267048333333333,0.305276666666667,0.0872219047619048,0.21681755182129,2.9520295202952,0.333333333333333,-1.242453324894,
1,0.129065,0.222311666666667,0.063517619047619,0.142186998311691,3.32256575911398,0.333333333333333,-1.09861228866811,
1,0.220455,0.30706,0.0877314285714286,0.195344865444566,3.57320099255583,0.333333333333333,-1.242453324894,
1,0.0950816666666666,0.24187,0.0691057142857143,0.134464796508231,3.91943385955362,0.333333333333333,-1.09861228866811,
1,0.173966666666667,0.285713333333333,0.081632380952381,0.176695998264754,3.33024976873265,0.333333333333333,-1.09861228866811,
1,0.438605,0.438605,0.125315714285714,0.338639225508177,1.95492804778713,1,-2.22044604925031E-16,
1,0.156605,0.248451666666667,0.0709861904761905,0.160525078535688,3.74025974025974,0.333333333333333,-1.09861228866811,
1,0.2112,0.2614,0.0746857142857143,0.184035663150138,4.31137724550898,0.233333333333333,-1.52834489081247,
1,0.252386666666667,0.252518333333333,0.0721480952380952,0.204461552878666,2.82242257938064,1,-2.22044604925031E-16,
1,0.162845,0.21727,0.0620771428571429,0.141252051597687,2.45482441186499,1,-2.22044604925031E-16,
1,0.462363333333333,0.462363333333333,0.13210380952381,0.359000278694568,2.62582056892779,1,-2.22044604925031E-16,
1,0.27119,0.315381666666667,0.0901090476190476,0.226876969700663,3.00500834724541,0.333333333333333,-1.09861228866811,
1,0.212391666666667,0.298713333333333,0.0853466666666667,0.191922429729652,3.72863801139306,0.333333333333333,-1.09861228866811,
1,0.41607,0.41607,0.118877142857143,0.321356343159566,2.79069767441861,1,-2.22044604925031E-16,
1,0.215705,0.269466666666667,0.0769904761904762,0.188384508725579,3.2258064516129,0.277777777777778,-1.40672369477982,
1,0.34275,0.34275,0.0979285714285714,0.27025547508073,3.53808353808354,0.4,-1.22752941145721,
1,0.235463333333333,0.421148333333333,0.120328095238095,0.259045128940457,2.93757649938801,0.413333333333333,-1.29007610206647,
1,0.301328333333333,0.385566666666667,0.110161904761905,0.256367460759183,3.52250489236791,0.333333333333333,-1.242453324894,
1,0.242706666666667,0.386841666666667,0.11052619047619,0.235027715895145,3.40586565752129,0.333333333333333,-1.242453324894,
2,0.109503333333333,0.311893333333333,0.089112380952381,0.172931626501472,4.60947503201024,0.208333333333333,-1.58902691517397,
2,0.2984,0.349186666666667,0.099767619047619,0.241863663156654,3.20284697508897,0.277222222222222,-1.45261780649077,
2,0.189506666666667,0.29251,0.0835742857142857,0.186683534952128,3.44497607655502,0.333333333333333,-1.09861228866811,
2,0.14209,0.337006666666667,0.096287619047619,0.188627070638808,3.0264817150063,0.286666666666667,-1.49452855425168,
2,0.16322,0.300456666666667,0.0858447619047619,0.183154449183075,3.58030830432621,0.277777777777778,-1.40672369477982,
2,0.248616666666667,0.31741,0.0906885714285715,0.214334348805267,3.05343511450382,0.406190476190476,-1.27317995539181,
2,0.318273333333333,0.378376666666667,0.108107619047619,0.260175323195725,3.50535540408958,0.4,-1.22752941145721,
2,0.26526,0.26526,0.0757885714285714,0.205522038774975,4.09556313993174,0.286666666666667,-1.49452855425168,
2,0.176373333333333,0.22051,0.0630028571428572,0.153772418672675,3.36448598130841,0.358333333333333,-1.2845581723102,
2,0.129953333333333,0.155673333333333,0.0444780952380952,0.108630469073419,4.44718962322421,0.277777777777778,-1.40672369477982,
2,0.133386666666667,0.273766666666667,0.0782190476190476,0.162869593574464,4.75875743555849,0.2,-1.6094379124341,
2,0.216626666666667,0.285503333333333,0.081572380952381,0.197564413462209,4.66321243523316,0.231111111111111,-1.59118916307688,
2,0.20447,0.20499,0.0585685714285714,0.166148534885037,3.16066725197542,0.333333333333333,-1.242453324894,
2,0.306293333333333,0.306293333333333,0.0875123809523809,0.23683880270485,3.46653827636013,0.43,-1.23095578423202,
2,0.259523333333333,0.27921,0.0797742857142857,0.20861917033996,3.68286445012788,0.277777777777778,-1.40672369477982,
2,0.328023333333333,0.328023333333333,0.0937209523809524,0.2537680308208,3.23741007194245,0.395,-1.29684412951321,
2,0.309176666666667,0.309176666666667,0.0883361904761905,0.24136522853229,3.3210332103321,0.4,-1.22752941145721,
